#pos.x,pos.y,pos.z
1.772995182282628202e+00,-2.243264150221819353e+00,6.599999999999999645e+00
1.655618142246094715e+00,-2.268130010163295740e+00,6.599999999999999645e+00
1.536961260918983108e+00,-2.285912727393542010e+00,6.599999999999999645e+00
1.417451574940016279e+00,-2.296548303333559193e+00,6.599999999999999645e+00
1.297519190123745059e+00,-2.299998461395007077e+00,6.599999999999999645e+00
1.177595733544074763e+00,-2.296250784734588102e+00,6.599999999999999645e+00
1.058112800142900101e+00,-2.285318760941274618e+00,6.599999999999999645e+00
9.395003994543811299e-01,-2.267241733495553468e+00,6.599999999999999645e+00
8.221854080349749738e-01,-2.242084760175382385e+00,6.599999999999999645e+00
7.065900331688038660e-01,-2.209938378918443025e+00,6.599999999999999645e+00
5.931302933773613395e-01,-2.170918281983334364e+00,6.599999999999999645e+00
4.822145212020810257e-01,-2.125164899582374645e+00,6.599999999999999645e+00
3.742418936481337610e-01,-2.072842894484483889e+00,6.599999999999999645e+00
2.696009955782683321e-01,-2.014140569407029346e+00,6.599999999999999645e+00
1.686684212269269623e-01,-1.949269189329386087e+00,6.599999999999999645e+00
7.180741886767416648e-02,-1.878462221167149782e+00,6.599999999999999645e+00
-2.063341648832689446e-02,-1.801974493543355038e+00,6.599999999999999645e+00
-1.083213976579172760e-01,-1.720081279680613973e+00,6.599999999999999645e+00
-1.909409426005424792e-01,-1.633077306714773913e+00,6.599999999999999645e+00
-2.681947101728108240e-01,-1.541275694995496215e+00,6.599999999999999645e+00
-3.398046702355196347e-01,-1.445006831191126384e+00,6.599999999999999645e+00
-4.055131042619199988e-01,-1.344617179253462691e+00,6.599999999999999645e+00
-4.650835328461103146e-01,-1.240468033521666458e+00,6.599999999999999645e+00
-5.183015667735305643e-01,-1.132934218452791519e+00,6.599999999999999645e+00
-5.649756785906220324e-01,-1.022402739658501147e+00,6.599999999999999645e+00
-6.049378918968354446e-01,-9.092713911027815454e-01,6.599999999999999645e+00
-6.380443858782799404e-01,-7.939473234732378204e-01,6.599999999999999645e+00
-6.641760129073456254e-01,-6.768455788782882232e-01,6.599999999999999645e+00
-6.832387273454986198e-01,-5.583875971437659569e-01,6.599999999999999645e+00
-6.951639240060226710e-01,-4.389996990846460889e-01,6.599999999999999645e+00
-6.999086850586069275e-01,-3.191115522104832625e-01,6.599999999999999645e+00
-6.974559344871892330e-01,-1.991546243863623333e-01,6.599999999999999645e+00
-6.878144995451738186e-01,-7.956063101451354980e-02,6.599999999999999645e+00
-6.710190789868517580e-01,3.924001867493893958e-02,6.599999999999999645e+00
-6.471301181893552856e-01,1.568197706324191698e-01,6.599999999999999645e+00
-6.162335916145735837e-01,2.727554647217749761e-01,6.599999999999999645e+00
-5.784406933939310047e-01,3.866298576398100040e-01,6.599999999999999645e+00
-5.338874371495895277e-01,4.980331245416064756e-01,6.599999999999999645e+00
-4.827341664922857878e-01,6.065643339674092749e-01,6.599999999999999645e+00
-4.251649779574827592e-01,7.118328907629269953e-01,6.599999999999999645e+00
-3.613870584566426514e-01,8.134599418000950655e-01,6.599999999999999645e+00
-2.916299396280804812e-01,9.110797394392249338e-01,6.599999999999999645e+00
-2.161446717709306631e-01,1.004340957825546221e+00,6.599999999999999645e+00
-1.352029203351719500e-01,1.092907957282898357e+00,6.599999999999999645e+00
-4.909598821937086188e-02,1.176461992254116851e+00,6.599999999999999645e+00
4.186623260518362866e-02,1.254702358440834997e+00,6.599999999999999645e+00
1.373563763709336749e-01,1.327347475014236666e+00,6.599999999999999645e+00
2.370307816773030707e-01,1.394135898001969576e+00,6.599999999999999645e+00
3.405307283006298591e-01,1.454827261204118649e+00,6.599999999999999645e+00
4.474837281995994731e-01,1.509203141251964198e+00,6.599999999999999645e+00
5.575048660699553071e-01,1.557067843696237519e+00,6.599999999999999645e+00
6.701981846239351004e-01,1.598249107295815152e+00,6.599999999999999645e+00
7.851581096089245149e-01,1.632598723972166654e+00,6.599999999999999645e+00
9.019709094367986957e-01,1.659993072198391539e+00,6.599999999999999645e+00
1.020216184170863016e+00,1.680333561903221584e+00,6.599999999999999645e+00
1.139468378511648172e+00,1.693546989288812199e+00,6.599999999999999645e+00
1.259298313336443043e+00,1.699585800285364545e+00,6.599999999999999645e+00
1.379274730280678929e+00,1.698428261694424402e+00,6.599999999999999645e+00
1.498965843802339215e+00,1.690078539404927360e+00,6.599999999999999645e+00
1.617940895143637370e+00,1.674566683400497746e+00,6.599999999999999645e+00
1.735771702597382005e+00,1.651948519611956989e+00,6.599999999999999645e+00
1.852034202498741733e+00,1.622305449004258326e+00,6.599999999999999645e+00
1.966309975396504983e+00,1.585744154620914559e+00,6.599999999999999645e+00
2.078187751911265035e+00,1.542396217640245704e+00,6.599999999999999645e+00
2.187264892861069399e+00,1.492417643825227902e+00,6.599999999999999645e+00
2.293148838327675243e+00,1.435988302071212308e+00,6.599999999999999645e+00
2.395458520448342288e+00,1.373311277072137182e+00,6.599999999999999645e+00
2.493825734848634568e+00,1.304612138434934510e+00,6.599999999999999645e+00
2.587896465780554767e+00,1.230138128872531267e+00,6.599999999999999645e+00
2.677332160196946642e+00,1.150157274397072937e+00,6.599999999999999645e+00
2.761810946176871173e+00,1.064957419715713449e+00,6.599999999999999645e+00
2.841028791316941415e+00,9.748451923005034825e-01,6.599999999999999645e+00
2.914700596919660214e+00,8.801448988606102031e-01,6.599999999999999645e+00
2.982561224040860548e+00,7.811973581883726592e-01,6.599999999999999645e+00
3.044366447703588996e+00,6.783586745796896800e-01,6.599999999999999645e+00
3.099893835844292234e+00,5.719989562431013752e-01,6.599999999999999645e+00
3.148943549828046695e+00,4.625009833099069101e-01,6.599999999999999645e+00
3.191339063651845276e+00,3.502588302390450270e-01,6.599999999999999645e+00
3.226927799247583550e+00,2.356764475745912191e-01,6.599999999999999645e+00
3.255581675598339331e+00,1.191662081600131234e-01,6.599999999999999645e+00
3.277197569691722823e+00,1.147423041243447739e-03,6.599999999999999645e+00
3.291697687651362614e+00,-1.179551676002839194e-01,6.599999999999999645e+00
3.299029844710851922e+00,-2.377129230536226823e-01,6.599999999999999645e+00
3.299167653022556213e+00,-3.576948447219970850e-01,6.599999999999999645e+00
3.292110616625368191e+00,-4.774691272523277630e-01,6.599999999999999645e+00
3.277884133229632901e+00,-5.966047125682089058e-01,6.599999999999999645e+00
3.256539402812816952e+00,-7.146728412134965014e-01,6.599999999999999645e+00
3.228153243354877855e+00,-8.312485954233457264e-01,6.599999999999999645e+00
3.192827814376490991e+00,-9.459124283693085555e-01,6.599999999999999645e+00
3.150690249275092558e+00,-1.058251674074859539e+00,6.599999999999999645e+00
3.101892197781938254e+00,-1.167862032567285935e+00,6.599999999999999645e+00
3.046609280186831636e+00,-1.274349024920997442e+00,6.599999999999999645e+00
2.985040455294728279e+00,-1.377329412955672794e+00,6.599999999999999645e+00
2.917407304388887734e+00,-1.476432578479860647e+00,6.599999999999999645e+00
2.843953233777532841e+00,-1.571301857116249812e+00,6.599999999999999645e+00
